"id","comfort1","confidence1","rmarkdown_1","rstudio_1","basic_r_1","data_import_1","subsetting_1","summarizing_1","data_classes_1","cleaning_1","reshaping_1","viz_1","stats_1","func_prog_1","github_1","comfort2","confidence2","skills_improvement_2","rmarkdown_2","rstudio_2","basic_r_2","data_import_2","subsetting_2","summarizing_2","data_classes_2","cleaning_2","reshaping_2","viz_2","stats_2","func_prog_2","github_2","comfort3","confidence3","skills_improvement_3","rmarkdown_3","rstudio_3","basic_r_3","data_import_3","subsetting_3","summarizing_3","data_classes_3","cleaning_3","reshaping_3","viz_3","stats_3","func_prog_3","github_3","recall3"
"15C16771",2,2,1,1,1,2,1,3,2,3,3,3,3,1,1,3,4,5,4,4,4,4,4,4,4,4,4,4,3,3,NA,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,NA,5
"2A27AAA5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8FD466C",2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D33C51BF",2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,5,4,5,5,5,4,5,4,4,4,4,4,5,5,5,NA,5,4,5,4,5,5,4,3,3,3,4,4,5,3,3,NA,5
"7EC48EDA",4,4,1,4,4,5,3,4,3,4,3,4,5,3,1,4,5,4,5,5,5,5,5,5,5,5,5,3,4,4,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,5
"783F6677",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,5,4,3,5,4,4,3,5,5,5,2,1,NA,5
"DA9A3AFC",2,1,1,2,2,2,1,1,1,2,1,2,1,1,1,5,4,5,5,5,5,5,5,5,5,4,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CBF9E7B3",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,2,2,3,3,3,2,3,3,3,NA,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,NA,4
"BF55894F",3,3,1,4,3,3,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,NA,3,3,4,3,4,4,4,4,4,4,4,3,3,4,3,NA,3
"C916C9F9",4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,5,5,5,5,5,5,5,4,4,5,5,4,NA,4,4,5,5,5,5,5,5,5,5,4,5,4,4,5,NA,5
"686236CC",3,3,1,1,1,4,3,2,3,3,2,3,2,2,1,4,4,4,5,4,4,5,5,5,5,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9124E291",4,4,3,5,5,5,5,5,5,5,5,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124E28E7",2,1,1,3,2,2,1,1,1,1,1,1,1,1,1,3,3,4,2,4,4,4,4,4,4,4,4,4,3,3,NA,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,NA,5
"70E8056F",2,1,1,3,3,4,3,3,4,2,3,3,1,1,1,3,4,5,5,4,3,5,4,4,5,4,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"809F91D4",3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,4,5,4,5,4,5,4,4,4,4,4,5,NA,5
"7415EFEF",2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"651AD1DF",3,2,1,2,2,2,2,3,3,2,2,2,2,1,2,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6541EEF5",2,3,2,4,4,4,2,2,2,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514F9678",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,NA,5
"65845C10",2,1,1,2,1,1,1,1,1,2,1,1,2,4,1,4,4,5,5,5,5,4,4,4,4,4,4,4,4,5,NA,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,NA,5
"12B8FFEE",3,2,1,1,3,2,2,3,3,2,1,5,4,4,1,4,3,4,3,5,5,3,3,4,4,4,4,5,4,5,NA,4,4,5,3,4,4,5,4,4,5,5,5,5,5,5,NA,3
"90995AF1",2,2,1,2,2,2,2,1,1,1,1,2,1,1,2,3,3,4,4,4,4,4,4,3,4,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2C34CE1E",3,2,2,3,2,4,1,3,3,2,1,2,3,1,1,4,4,4,3,5,4,5,4,5,4,4,4,4,3,4,NA,4,4,4,4,5,4,5,4,5,4,4,3,5,3,3,NA,5
"280475A5",1,1,1,1,1,4,4,3,2,2,2,3,1,1,1,4,3,4,5,5,4,5,4,5,4,5,5,4,3,3,NA,4,4,4,5,5,5,5,5,5,5,4,3,4,3,3,NA,5
"B951D979",3,3,2,3,3,4,3,3,4,3,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0D80A310",4,5,3,4,4,5,4,4,4,3,4,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,5,4,5,5,5,4,5,4,5,4,4,4,5
"A1B43C36",5,4,4,4,4,4,4,4,3,3,3,4,4,3,1,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,3,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5
"E83AA514",3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"BE052A0E",2,3,1,2,2,3,3,2,2,1,1,1,2,1,1,5,5,5,5,5,4,5,5,5,5,4,4,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5
"5C85A969",3,3,3,3,3,3,3,3,3,2,2,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718E47F0",2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551B7872",3,2,2,2,3,4,2,2,3,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,5
"8B2DF326",2,2,1,1,1,3,2,3,3,3,3,3,3,1,1,4,4,5,4,3,3,5,4,5,5,4,5,5,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AA9CD9FD",1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5D2D7938",3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56526285",2,3,2,3,3,4,4,4,3,4,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F9E3B065",4,3,1,1,2,2,1,2,3,2,2,3,1,1,1,3,3,4,3,5,5,5,4,4,5,3,3,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
